location_id,smoking_prevalence,observed
6,0.242863596077388,1
7,0.222928480818035,1
8,0.18459420464486892,1
10,0.228504750057475,1
11,0.317050865943723,1
12,0.24532144153721205,1
13,0.19315685667021398,1
14,0.223380225294597,1
15,0.2319755515245,1
16,0.22793259497687002,1
17,0.14404069087040694,1
18,0.207460489966422,1
19,0.30540152917841995,1
20,0.24233602252482395,1
22,0.29912464293657803,1
23,0.44879592214014796,1
24,0.20326179239682896,1
25,0.28250680082577506,1
26,0.33651208572745,1
27,0.27383073777672,1
28,0.30071286275901193,1
29,0.30482255082865195,1
30,0.20651380398742802,1
33,0.254030498355223,1
34,0.22052839414949998,1
35,0.257512896032331,1
36,0.240831724648157,1
37,0.22248484330777998,1
38,0.28002223627447803,1
39,0.0907170976496045,1
40,0.20173033078726002,1
41,0.111530008165704,1
43,0.284341567322745,1
44,0.302357519012326,1
45,0.338287158727696,1
46,0.32502826600084805,1
47,0.29732924845854697,1
48,0.291844425356432,1
49,0.335958480013965,1
50,0.325499365803576,1
51,0.257794074825088,1
52,0.259110048768923,1
53,0.31178736349936,1
54,0.25840281084378497,1
55,0.234752280859713,1
57,0.32898498397885,1
58,0.267052885579237,1
59,0.310236933922648,1
60,0.271348498486219,1
61,0.21465209215867198,1
62,0.29917628216216197,1
63,0.296646414446292,1
66,0.144233369015702,1
67,0.21611760505861305,1
68,0.215943703547975,1
69,0.133693974338123,1
71,0.156281028292168,1
72,0.178566614465625,1
74,0.23853344850683,1
75,0.304685099709441,1
76,0.21603641612482705,1
77,0.277291486558855,1
78,0.208896426842527,1
79,0.19571609896196496,1
80,0.276919758628925,1
81,0.260162755506123,1
82,0.34008532291466104,1
83,0.16976416284625198,1
84,0.22319468564567604,1
85,0.20239366982764692,1
86,0.22702593878393101,1
87,0.23698072324758604,1
88,0.21443617069720305,1
89,0.220321795827627,1
90,0.187221726675941,1
91,0.21068288603426505,1
92,0.277166889133392,1
93,0.135090737561435,1
94,0.229595251521374,1
95,0.225171760388627,1
97,0.227500451024618,1
98,0.317278823067016,1
99,0.310938754642779,1
101,0.16738595916824694,1
102,0.170221059234943,1
105,0.0962978201112454,1
106,0.0950272502481859,1
107,0.0869256670703538,1
108,0.12340296627169699,1
109,0.251233319240335,1
110,0.11097554917249301,1
111,0.10161068615618901,1
112,0.116039171060331,1
113,0.11706671993277401,1
114,0.0630660449520713,1
115,0.16581200191974,1
116,0.111212094300563,1
117,0.173505286257919,1
118,0.19362411987879,1
119,0.16158731362224,1
121,0.0861246079616814,1
122,0.10668255324138799,1
123,0.0836452275333902,1
125,0.13426537732143198,1
126,0.146274422028495,1
127,0.0848781984018647,1
128,0.11533575692310101,1
129,0.14097971989826502,1
130,0.14221658062140302,1
131,0.120958628175494,1
132,0.0802757835005599,1
133,0.152586796293232,1
135,0.10397317818237099,1
136,0.125510854249336,1
139,0.20076687687102104,1
140,0.142263614515341,1
141,0.19394936411584998,1
142,0.14644881557643302,1
143,0.19211585698295,1
144,0.206209220759827,1
145,0.20497293037638,1
146,0.303138403747822,1
147,0.161357234606764,1
148,0.114378439709638,1
149,0.21559222300362804,1
150,0.10453345293488499,1
151,0.11655213498082198,1
152,0.11227583954007199,1
153,0.21124143451850694,1
