location_id,parent_id,path_to_top_parent,level,most_detailed,location_name,location_ascii_name
189,174,"1,166,174,189",3,1,United Republic of Tanzania,United Republic of Tanzania
191,174,"1,166,174,191",3,1,Zambia,Zambia
192,166,"1,166,192",2,0,Southern Sub-Saharan Africa,Southern Sub-Saharan Africa
193,192,"1,166,192,193",3,1,Botswana,Botswana
197,192,"1,166,192,197",3,1,Eswatini,Eswatini
194,192,"1,166,192,194",3,1,Lesotho,Lesotho
195,192,"1,166,192,195",3,1,Namibia,Namibia
196,192,"1,166,192,196",3,1,South Africa,South Africa
198,192,"1,166,192,198",3,1,Zimbabwe,Zimbabwe
199,166,"1,166,199",2,0,Western Sub-Saharan Africa,Western Sub-Saharan Africa
200,199,"1,166,199,200",3,1,Benin,Benin
201,199,"1,166,199,201",3,1,Burkina Faso,Burkina Faso
203,199,"1,166,199,203",3,1,Cabo Verde,Cabo Verde
202,199,"1,166,199,202",3,1,Cameroon,Cameroon
204,199,"1,166,199,204",3,1,Chad,Chad
205,199,"1,166,199,205",3,1,Côte d'Ivoire,Cote d'Ivoire
206,199,"1,166,199,206",3,1,Gambia,Gambia
207,199,"1,166,199,207",3,1,Ghana,Ghana
208,199,"1,166,199,208",3,1,Guinea,Guinea
209,199,"1,166,199,209",3,1,Guinea-Bissau,Guinea-Bissau
210,199,"1,166,199,210",3,1,Liberia,Liberia
211,199,"1,166,199,211",3,1,Mali,Mali
212,199,"1,166,199,212",3,1,Mauritania,Mauritania
213,199,"1,166,199,213",3,1,Niger,Niger
214,199,"1,166,199,214",3,1,Nigeria,Nigeria
215,199,"1,166,199,215",3,1,Sao Tome and Principe,Sao Tome and Principe
216,199,"1,166,199,216",3,1,Senegal,Senegal
217,199,"1,166,199,217",3,1,Sierra Leone,Sierra Leone
218,199,"1,166,199,218",3,1,Togo,Togo
