location_id,parent_id,path_to_top_parent,level,most_detailed,location_name,location_ascii_name
63,56,"1,31,56,63",3,1,Ukraine,Ukraine
64,1,"1,64",1,0,High-income,High-income
70,64,"1,64,70",2,0,Australasia,Australasia
71,70,"1,64,70,71",3,1,Australia,Australia
72,70,"1,64,70,72",3,1,New Zealand,New Zealand
65,64,"1,64,65",2,0,High-income Asia Pacific,High-income Asia Pacific
66,65,"1,64,65,66",3,1,Brunei Darussalam,Brunei Darussalam
67,65,"1,64,65,67",3,1,Japan,Japan
68,65,"1,64,65,68",3,1,Republic of Korea,Republic of Korea
69,65,"1,64,65,69",3,1,Singapore,Singapore
100,64,"1,64,100",2,0,High-income North America,High-income North America
101,100,"1,64,100,101",3,0,Canada,Canada
43858,101,"1,64,100,101,43858",4,1,Alberta,Alberta
43859,101,"1,64,100,101,43859",4,1,British Columbia,British Columbia
43860,101,"1,64,100,101,43860",4,1,Manitoba,Manitoba
43861,101,"1,64,100,101,43861",4,1,New Brunswick,New Brunswick
43862,101,"1,64,100,101,43862",4,1,Newfoundland and Labrador,Newfoundland and Labrador
43863,101,"1,64,100,101,43863",4,1,Northwest Territories,Northwest Territories
43864,101,"1,64,100,101,43864",4,1,Nova Scotia,Nova Scotia
43865,101,"1,64,100,101,43865",4,1,Nunavut,Nunavut
43866,101,"1,64,100,101,43866",4,1,Ontario,Ontario
43867,101,"1,64,100,101,43867",4,1,Prince Edward Island,Prince Edward Island
43868,101,"1,64,100,101,43868",4,1,Quebec,Quebec
43869,101,"1,64,100,101,43869",4,1,Saskatchewan,Saskatchewan
43870,101,"1,64,100,101,43870",4,1,Yukon,Yukon
349,100,"1,64,100,349",3,1,Greenland,Greenland
102,100,"1,64,100,102",3,0,United States of America,United States of America
523,102,"1,64,100,102,523",4,1,Alabama,Alabama
524,102,"1,64,100,102,524",4,1,Alaska,Alaska
525,102,"1,64,100,102,525",4,1,Arizona,Arizona
526,102,"1,64,100,102,526",4,1,Arkansas,Arkansas
527,102,"1,64,100,102,527",4,1,California,California
528,102,"1,64,100,102,528",4,1,Colorado,Colorado
529,102,"1,64,100,102,529",4,1,Connecticut,Connecticut
530,102,"1,64,100,102,530",4,1,Delaware,Delaware
531,102,"1,64,100,102,531",4,1,District of Columbia,District of Columbia
532,102,"1,64,100,102,532",4,1,Florida,Florida
533,102,"1,64,100,102,533",4,1,Georgia,Georgia
534,102,"1,64,100,102,534",4,1,Hawaii,Hawaii
535,102,"1,64,100,102,535",4,1,Idaho,Idaho
536,102,"1,64,100,102,536",4,1,Illinois,Illinois
537,102,"1,64,100,102,537",4,1,Indiana,Indiana
538,102,"1,64,100,102,538",4,1,Iowa,Iowa
539,102,"1,64,100,102,539",4,1,Kansas,Kansas
540,102,"1,64,100,102,540",4,1,Kentucky,Kentucky
541,102,"1,64,100,102,541",4,1,Louisiana,Louisiana
542,102,"1,64,100,102,542",4,1,Maine,Maine
543,102,"1,64,100,102,543",4,1,Maryland,Maryland
544,102,"1,64,100,102,544",4,1,Massachusetts,Massachusetts
545,102,"1,64,100,102,545",4,1,Michigan,Michigan
546,102,"1,64,100,102,546",4,1,Minnesota,Minnesota
547,102,"1,64,100,102,547",4,1,Mississippi,Mississippi
548,102,"1,64,100,102,548",4,1,Missouri,Missouri
549,102,"1,64,100,102,549",4,1,Montana,Montana
550,102,"1,64,100,102,550",4,1,Nebraska,Nebraska
551,102,"1,64,100,102,551",4,1,Nevada,Nevada
552,102,"1,64,100,102,552",4,1,New Hampshire,New Hampshire
553,102,"1,64,100,102,553",4,1,New Jersey,New Jersey
554,102,"1,64,100,102,554",4,1,New Mexico,New Mexico
555,102,"1,64,100,102,555",4,1,New York,New York
556,102,"1,64,100,102,556",4,1,North Carolina,North Carolina
557,102,"1,64,100,102,557",4,1,North Dakota,North Dakota
558,102,"1,64,100,102,558",4,1,Ohio,Ohio
559,102,"1,64,100,102,559",4,1,Oklahoma,Oklahoma
