location_id,proportion_under_100m,observed
6,0.5025001908969999,1
7,0.46551670444300003,1
8,0.688701828168,1
10,0.8659688773720001,1
11,0.470062104331,1
12,0.020432030050299997,1
13,0.747520376886,1
14,0.0810505644404,1
15,0.5160330316749999,1
16,0.725702861013,1
17,0.5402475189720001,1
18,0.574824056379,1
19,0.163100857436,1
20,0.755047318475,1
22,0.7569286824860001,1
23,0.661197667027,1
24,0.4310109944899999,1
25,0.586016449427,1
26,0.15870129420999998,1
27,0.268576846702,1
28,0.486637423305,1
29,0.833725672161,1
30,0.541180526034,1
33,0.0,1
34,0.492210176646,1
35,0.14271480027699998,1
36,0.107264147551,1
37,0.0,1
38,0.0,1
39,0.0,1
40,0.215565606562,1
41,0.06487114743080001,1
43,0.472505295902,1
44,0.061228704775300014,1
45,0.105480267123,1
46,0.241611159032,1
47,0.0,1
48,0.28580031209199996,1
49,0.0042764036856799996,1
50,0.138908223278,1
51,0.276829274981,1
52,0.5702290894650001,1
53,0.303047647144,1
54,0.0130549791141,1
55,0.041370156673199994,1
57,0.0007573409447510001,1
58,0.9623101146780001,1
59,0.779284813309,1
60,0.452033549404,1
61,0.334728797133,1
62,0.261864206129,1
63,0.262682451941,1
66,0.9565711083949999,1
67,0.622363815349,1
68,0.654180649103,1
69,0.999440392533,1
71,0.625290254925,1
72,0.8108881211139999,1
74,0.0,1
75,0.000402832470179,1
76,0.746878575684,1
77,0.4052955276,1
78,0.994880681655,1
79,0.656613543773,1
80,0.481558169976,1
81,0.401229288227,1
82,0.421084820495,1
83,0.41562422118500003,1
84,0.799294268795,1
85,0.564613297187,1
86,0.41284005771,1
87,0.0,1
88,0.815224797269,1
89,0.983196616957,1
90,0.29931844359000004,1
91,0.483740227769,1
92,0.28363774369000005,1
93,0.747298138659,1
94,1.11014588871e-05,1
95,0.793776743891,1
97,0.609909904867,1
98,0.0907147757575,1
99,0.8853272661939999,1
101,0.3769785068,1
102,0.3755137156360001,1
105,0.985828828362,1
106,0.9934739620849999,1
107,0.7159898613850001,1
108,0.721199372967,1
109,0.689368407277,1
110,0.984209542437,1
111,0.6060136499409999,1
112,0.32617359189399997,1
113,0.9171629375570001,1
114,0.37362227563,1
115,0.26161413767499997,1
116,0.45557482757600004,1
117,0.275124697487,1
118,0.9406473197220001,1
119,0.6989453217,1
121,0.00043524056782599997,1
122,0.271594995759,1
123,0.177713006982,1
125,0.180699499687,1
126,0.170332520465,1
127,0.111425301077,1
128,0.0731709772803,1
129,0.279194610834,1
130,0.188760231145,1
131,0.285837054789,1
132,0.604111064101,1
133,0.19836135490600001,1
135,0.317784603297,1
136,0.29710456047899997,1
139,0.19864203588399998,1
140,0.998553559426,1
141,0.970891898696,1
142,0.106690653822,1
143,0.62651128785,1
144,0.061773242783699986,1
145,0.837651291468,1
146,0.48847368192900004,1
147,0.414240977469,1
148,0.340524287325,1
149,0.467794692374,1
150,0.321092135931,1
151,0.999831379859,1
152,0.277518779177,1
153,0.0355798056915,1
154,0.616581155459,1
155,0.217110294297,1
156,0.46900546679,1
157,0.114705800404,1
160,0.0,1
161,0.990388902199,1
162,0.0,1
163,0.369191717329,1
164,0.272269207774,1
165,0.243771836415,1
168,0.402122599608,1
169,0.0,1
170,0.114053227629,1
171,0.00278554507008,1
172,0.07126162538530001,1
173,0.18178522028000002,1
175,0.0,1
176,0.17567544319800002,1
177,0.358230363701,1
178,0.0775554127222,1
179,0.0013134332942999999,1
180,0.0540642277653,1
181,0.170341213495,1
182,0.023382700644099995,1
183,0.152986379689,1
184,0.374184934446,1
185,0.0,1
186,0.532954121522,1
187,0.314442472929,1
189,0.15963811611,1
190,0.0,1
191,0.0,1
193,0.0,1
194,0.0,1
195,0.0683485024383,1
196,0.144476811237,1
197,0.00185375469416,1
198,0.0,1
200,0.48793416406,1
201,0.0,1
202,0.15793304886499998,1
203,0.174681850887,1
204,0.0,1
205,0.293856666808,1
206,0.995091520783,1
207,0.31374764399,1
208,0.192018650399,1
209,0.9953813243340001,1
210,0.408308660017,1
211,0.0328329620437,1
212,0.645273124991,1
213,0.0,1
214,0.150195591853,1
215,0.00240003171659,1
216,0.98304797731,1
217,0.496943295347,1
218,0.437781191994,1
298,0.475465823351,1
305,0.924377568143,1
320,0.413321180729,1
349,0.439854910928,1
351,0.5932556560769999,1
354,0.7459117180329999,1
361,0.995434568013,1
367,0.331669445577,1
369,0.691236364817,1
374,0.978330560583,1
376,0.657745698602,1
380,0.790044890674,1
385,0.636881424522,1
393,1.0,1
396,0.15984290255300002,1
413,0.0,1
416,0.21110062254700002,1
422,0.649291903795,1
433,0.802682747763,1
434,0.765753146752,1
435,0.0,1
482,0.213485136288,1
483,0.0,1
484,0.0,1
485,0.225450658982,1
486,0.0,1
487,0.0,1
488,0.0,1
489,0.009085324029620001,1
490,0.640523045573,1
491,0.901832968181,1
492,0.905570623531,1
493,0.00222384867423,1
494,0.5440463126089999,1
495,0.0,1
496,0.7776925066429999,1
497,0.34334599514200004,1
498,0.0,1
499,0.742366273202,1
500,0.77906837788,1
501,0.09440601363710001,1
502,0.5831782734650001,1
503,0.679798302639,1
504,0.39509614958300004,1
505,0.00136500515858,1
506,0.992268828613,1
507,0.532814747966,1
508,0.00782117669658,1
509,0.678195314088,1
510,0.0,1
511,0.0,1
512,0.0,1
513,0.77373031089,1
514,0.999909184931,1
515,0.0,1
516,0.0,1
517,0.9841480879860001,1
518,0.0,1
519,0.011848031549,1
520,6.72294107447e-06,1
521,0.740598948669,1
522,0.0149696702749,1
